city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Lopar,44.8300,14.7300,Croatia,HR,Primorsko-Goranska Županija,minor,1524,1524
Visoko,46.0903,16.3250,Croatia,HR,Varaždinska Županija,minor,1518,1518
Negoslavci,45.2833,19.0000,Croatia,HR,Vukovarsko-Srijemska Županija,minor,1463,1463
Veliki Bukovec,46.3000,16.7167,Croatia,HR,Varaždinska Županija,minor,1438,1438
Karojba,45.3000,13.8167,Croatia,HR,Istarska Županija,minor,1438,1438
Bedenica,46.0223,16.2639,Croatia,HR,Zagrebačka Županija,minor,1432,1432
Donji Vidovec,46.3333,16.7833,Croatia,HR,Međimurska Županija,minor,1399,1399
Luka,45.9700,15.8200,Croatia,HR,Zagrebačka Županija,minor,1351,1351
Gračišće,45.2194,14.0103,Croatia,HR,Istarska Županija,minor,1311,1311
Donja Motičina,45.4900,18.0200,Croatia,HR,Osječko-Baranjska Županija,minor,1198,1198
Vižinada,45.3333,13.7667,Croatia,HR,Istarska Županija,minor,1158,1158
Viškovci,45.3400,18.4500,Croatia,HR,Osječko-Baranjska Županija,minor,1144,1144
Vladislavci,45.4600,18.5700,Croatia,HR,Osječko-Baranjska Županija,minor,1073,1073
Sveti Petar u Šumi,45.1833,13.8667,Croatia,HR,Istarska Županija,minor,1065,1065
Lokve,45.3581,14.7481,Croatia,HR,Primorsko-Goranska Županija,minor,1049,1049
Ernestinovo,45.4500,18.6600,Croatia,HR,Osječko-Baranjska Županija,minor,1047,1047
Smokvica,42.9292,16.8953,Croatia,HR,Dubrovačko-Neretvanska Županija,minor,1012,1012
Markušica,45.3738,18.7062,Croatia,HR,Vukovarsko-Srijemska Županija,minor,1009,1009
Zagorska Sela,46.0969,15.6350,Croatia,HR,Krapinsko-Zagorska Županija,minor,996,996
Motovun,45.3333,13.8333,Croatia,HR,Istarska Županija,minor,983,983
Malinska,45.1333,14.5333,Croatia,HR,Primorsko-Goranska Županija,minor,965,965
Lopatinec,46.4331,16.3831,Croatia,HR,Međimurska Županija,minor,915,915
